actual,ACV,CEP,DCEP,DCEP-FU,DSCT,EA,EB,EC,ED,EW,HADS,L,ROT,RRAB,RRAB_BL,RRC,RRD,RS,SR
ACV,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,2.0
CEP,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
DCEP,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,7.0
DCEP-FU,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0
DCEPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
DSCT,0.0,0.0,0.0,0.0,31.0,0.0,0.0,2.0,0.0,21.0,3.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,7.0
E,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
EA,0.0,1.0,1.0,0.0,0.0,407.0,7.0,0.0,11.0,6.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0
EB,0.0,0.0,0.0,0.0,0.0,25.0,35.0,5.0,0.0,25.0,0.0,0.0,24.0,1.0,0.0,1.0,0.0,0.0,5.0
EC,0.0,0.0,0.0,0.0,3.0,0.0,7.0,67.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
ED,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
EW,1.0,0.0,0.0,0.0,4.0,5.0,13.0,34.0,0.0,984.0,0.0,0.0,37.0,2.0,0.0,10.0,0.0,0.0,2.0
HADS,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,11.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
L,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,6.0,0.0,0.0,0.0,0.0,0.0,194.0
ROT,1.0,4.0,11.0,0.0,2.0,9.0,8.0,0.0,0.0,77.0,0.0,8.0,536.0,1.0,0.0,8.0,0.0,1.0,124.0
RR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0
RRAB,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,1.0,17.0,405.0,4.0,2.0,0.0,0.0,3.0
RRAB_BL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,47.0,3.0,2.0,0.0,0.0,0.0
RRC,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,50.0,0.0,1.0,21.0,6.0,0.0,122.0,1.0,0.0,1.0
RRD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,4.0,0.0,5.0,6.0,0.0,1.0
RS,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,5.0
SR,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,80.0,51.0,0.0,0.0,0.0,0.0,0.0,856.0
